business_id,name,review_id,date,stars
-Haznphi4oNpwS0E5SWCeg,Five Rows Craft Wine,G7kE_VYqE0PP_Yj-PAT2KQ,2014-05-12,5
-Haznphi4oNpwS0E5SWCeg,Five Rows Craft Wine,S_VCEQd35PQn4q6liNvpAg,2012-03-07,5
-Haznphi4oNpwS0E5SWCeg,Five Rows Craft Wine,AQF-bS54XygHGjsBCDt5dg,2015-05-25,5
4SErrAb927U1qTFOssOnBw,Cheesers-Gourmet Foods of Wisconsin,_GCefKqS-g8afwvuMR6jLg,2014-01-31,5
4SErrAb927U1qTFOssOnBw,Cheesers-Gourmet Foods of Wisconsin,NB4UKpOa5ta7r87g_l_HBQ,2017-03-23,5
4SErrAb927U1qTFOssOnBw,Cheesers-Gourmet Foods of Wisconsin,NuP0xWMynah21QKo3d38tg,2010-03-24,5
4SErrAb927U1qTFOssOnBw,Cheesers-Gourmet Foods of Wisconsin,gnSTRysraam3NXwg0Cvrkg,2017-01-21,5
4SErrAb927U1qTFOssOnBw,Cheesers-Gourmet Foods of Wisconsin,68ziRc0VT3ti3FkdFwUWPg,2016-05-14,5
4SErrAb927U1qTFOssOnBw,Cheesers-Gourmet Foods of Wisconsin,nPIHUpDJbCT57oLywVADRw,2012-04-30,4
FbzX2MU3vN6DXwL5FMZIig,Beef 'O' Brady's,ZuTTvKBME7ny7ensgoGrfg,2009-03-15,2
FbzX2MU3vN6DXwL5FMZIig,Beef 'O' Brady's,PWUMDnYBBVl_yj6oIV-V-Q,2010-05-11,1
FbzX2MU3vN6DXwL5FMZIig,Beef 'O' Brady's,RglHZc4KbXXMyOykGl81Hg,2010-04-18,1
GhsjizVkrRDiIrYQP88bag,Outpost Bar & Grill,XP1UJyZWy6EZGzR3pEg-Kw,2015-03-20,5
HfNgywD3im9Im5n7hG-9qA,McDonald's,Z00vngbhn0_VTTOIhi25fw,2017-01-24,1
HfNgywD3im9Im5n7hG-9qA,McDonald's,z610t5qiNIaqpvXiEMa1Ow,2016-04-11,1
K9vNp74Ev9Am6VueAjCOAw,McDonald's,fPDDHojt805cCPjBjlQicw,2017-05-21,1
K9vNp74Ev9Am6VueAjCOAw,McDonald's,AfJTm2JGQ1XPi_gaNClgiA,2016-01-30,1
K9vNp74Ev9Am6VueAjCOAw,McDonald's,mY2JMMU7D5qb4VKKZGpsdQ,2017-05-28,1
K9vNp74Ev9Am6VueAjCOAw,McDonald's,Sl5JUKXeemi533yzEjLO2w,2016-02-07,1
K9vNp74Ev9Am6VueAjCOAw,McDonald's,Hx_7q1U0HAVgDk9wNtqn6A,2015-04-12,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,LFlKOTWJNoVZcZKegjxNQg,2013-02-17,2
P8ersCaJqnL1paY9FFnZ9w,Burger King,6kMsCyhmicOzyvYArppfaA,2010-03-24,2
P8ersCaJqnL1paY9FFnZ9w,Burger King,ihT0_W0D4Q0VVAgapaYcOQ,2016-04-19,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,lQUyYFbmcGoNw0LaiNQtDA,2014-02-25,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,fJRpwEvS6uOGzmnz1s72kg,2014-01-19,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,DZzmIwgImn39ff-pULmWSQ,2014-01-19,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,SIPo9jRhx8lQlYUJ51guuA,2016-05-10,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,F2RrlGVtZnL59zdwiTUALg,2014-02-03,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,jGY-2rpB5piA5gpIteH5-A,2017-01-05,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,mY8V4nTYwmqgSzzgrWk7aA,2016-01-29,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,FBqO4KupiDgqdZXcP_Ybrg,2015-03-31,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,_M_4NhswnVSU1NlhiNmSEg,2016-04-06,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,neo9_oahvVXswkrYPgbojA,2012-02-25,1
P8ersCaJqnL1paY9FFnZ9w,Burger King,bGtVG_fO3YO74BLoSSHlYQ,2014-03-17,1
TiPk-P69U5_E-6xQiEdGwQ,Culver's,rk6Rljs6d3jVmT7rXM7vGA,2017-01-26,4
U1K2R3AHBes_9riA4C_lVw,JB's Italian Grille,GXIhfH6YwObV_q4wNAypWQ,2011-04-29,5
U1K2R3AHBes_9riA4C_lVw,JB's Italian Grille,IIL851FneU_nzSHJGDU28g,2009-05-26,2
U1K2R3AHBes_9riA4C_lVw,JB's Italian Grille,UjyozBGE5DUmKntJ54wIRQ,2013-04-17,1
U1K2R3AHBes_9riA4C_lVw,JB's Italian Grille,VoGCba_qMuUWeKCC-T-98g,2012-04-12,1
_EfuHIwHJg0VZPBdjWza2g,Road Ranger,wLe0ZJylynczKSrboAqbmA,2016-02-05,1
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,zh4_g3NNY50AKPZy-3p6Dg,2017-02-05,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,d6PYgJdBvgO5j_7D9XLzUw,2015-05-09,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,t2c2C4XlBoiLT6zPkt7fAQ,2014-05-24,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,Bu6vx1ZN8qFUuWwm3gkdKw,2016-03-30,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,say2yeAst5mg-lvGYSVAPw,2015-04-12,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,loUBzBUwitEIscZEuHcOBA,2013-05-11,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,cHa4T21LA1XdJwXAvaB76A,2014-02-14,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,mApxO8g8841V6QdYaO4RNw,2016-05-25,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,ZSTME83SDlUUT2Mn6nS6ng,2014-02-23,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,W9uAMko8EDyMF4JvpuhrWQ,2016-03-25,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,5nEGBUDwPKuzfd-VdDZ0kA,2017-02-18,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,xmJ7jETQCzsH5KMZPLnoHQ,2015-01-04,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,A9jqNWEtKl-olyGbQ-8QyA,2015-02-07,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,mMTHEZ4NferlY9XZzKu0xw,2017-02-16,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,5-Nxe89OVEKPxpml1xB77g,2014-02-23,5
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,SKgSMCQfyx_SKXSEd1rd5A,2016-04-21,4
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,tGLqTrCSzqjvpCdppDqqwQ,2014-04-13,4
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,VMU4rBXUzWYSrFmJVf_bHA,2013-05-21,3
